arana,Tamano.arana,Tamano.tela,Altura,Inclinacion
1,1.66,22.25,136,70
2,1.66,16.25,150,45
3,1.66,17.33,93,60
4,1.66,17.33,166,60
5,1.32,21.25,75,80
6,1.47,24.75,128,65
7,1.29,21.5,142,100
8,1.59,28.5,47,60
9,0.94,15.33,122,70
10,1.49,22.33,64,70
11,1.5,21.33,45,80
12,1.03,12,45,80
13,1.52,18,64,100
14,1.65,27,41,45
15,1.33,17.75,40,65
16,1.29,17.25,48,85
17,1.16,15.5,115,65
18,1.33,15.25,81,60
19,1.43,17.75,89,80
20,1.58,23.25,113,80
21,1.73,20.5,137,95
22,1.25,17,83,90
23,1.52,20.75,97,80
24,1.49,18,114,90
25,1.32,18.75,77,85
26,1.29,19.5,76,65
27,14.8,15.33,270,40
28,1.62,20,230,85
29,1.07,13,47,85
30,1.06,17,58,80
31,1.23,14.5,60,80
32,1.26,21.5,67,85
33,1.39,19.75,50,80
34,1.66,23.25,36,75
35,1.09,16.25,42,75
36,1.57,20.5,56,40
37,1.03,16.66,48,85
38,1.55,21,75,70
39,0.98,15,33,85
40,1.17,18.25,35,65
