"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"1-1",1,"OAK","Retri","3/3.5",3,0.385,10.3133333333333,0,"Yes",27.4559333333333,107.306187933333,329.067620566667,0.249226826333333,"deciduous",1.844442201,492,16.748,29.37664199,9.080252006,"no"
"1-10",1,"OAK","Accol","1.5/2",2.5,0.118333333333333,20.5466666666667,2,"No",65.9051333333333,161.786327033333,435.0987662,0.53454777,"deciduous",2.084664284,485,24.553,19.75318698,11.7779156,"yes"
"1-101",1,"OAK","Eusch","3.5/4",3,0.147666666666667,12.4033333333333,0,"No",1.86143333333333,275.908787866667,290.317460333333,0.263698773333333,"deciduous",2.402343269,514,22.765,22.57851966,9.476164498,"no"
"1-106",1,"OAK","Retri","1/1.5",2.5,0.252333333333333,9.73333333333333,0,"Yes",28.3096,156.306474533333,301.235016733333,0.254072994,"deciduous",1.615690041,507,18.093,28.02188692,11.19831128,"no"
"1-109",1,"OAK","Aledu","2/2.5",3,0.234,7.39666666666667,0,"No",62.4928666666667,98.7631430466667,398.2822665,0.439129999,"evergreen",1.015179804,537,15.784,34.02179422,15.54798464,"no"
"1-112",1,"OAK","Accol","3.5/4",3,0.143333333333333,7.98333333333333,2,"No",38.6432333333333,104.111919353333,525.6077705,0.680898238,"deciduous",1.933996682,508,24.184,21.00562355,12.50467502,"yes"
"1-115",1,"OAK","Eusch","2.5/3",3,0.131666666666667,13.8066666666667,0,"No",3.32813333333333,371.3509091,225.212790433333,0.204878329333333,"deciduous",2.632607648,520,22.574,23.0353504,8.574768069,"no"
"1-117",1,"OAK","Eusch","3.5/4",3,0.144333333333333,17.0733333333333,0,"No",3.18616666666667,283.1127315,252.733142566667,0.247954401,"deciduous",2.772564074,515,27.471,18.74704234,9.90815695,"no"
"1-118",1,"OAK","Eusch","3.5/4",3,0.152,21.6233333333333,0,"No",4.81303333333333,316.050915733333,244.407248,0.209237779,"deciduous",2.780528977,506,26.924,18.79364136,9.683049602,"no"
"1-12",1,"OAK","Baung","1.5/2",3,0.127,14.04,0,"Yes",29.6547666666667,224.291186,476.849937966667,0.354381173666667,"deciduous",1.517621987,553,23.459,23.57304233,15.45773598,"yes"
"1-123",1,"OAK","Accol","2/2.5",2.5,0.125,10.9966666666667,2,"No",92.6445333333333,168.964179933333,466.4246631,0.489155723333333,"deciduous",1.918191923,501,23.95,20.91858038,12.48571622,"yes"
"1-127",1,"OAK","Accol","2.5/3",2.5,0.104,15.97,2,"No",40.6153,137.2138514,527.6292335,0.700759036,"deciduous",1.346503217,503,24.096,20.874834,17.89524131,"yes"
